art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/class/LagonaP13;Article;2013;A Gaussian-Von Mises Hidden Markov Model for Clustering Multivariate Linear-Circular Data.;171;179;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#LagonaP13
series/class/BuchelHM13;Article;2013;Factor Preselection and Multiple Measures of Dependence.;223;232;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#BuchelHM13
series/class/ZanellaBBC13;Article;2013;A Simplified Latent Variable Structural Equation Model with Observable Variables Assessed on Ordinal Scales.;379;387;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#ZanellaBBC13
series/class/SchmittB13;Article;2013;Logic Based Conjoint Analysis Using the Commuting Quantum Query Language.;481;489;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#SchmittB13
series/class/Dreassi13;Article;2013;Shared Components Models in Joint Disease Mapping: A Comparison.;207;214;Classification and Data Mining;;;;;db/series/class/class364228893.html#Dreassi13
series/class/CapuanoSMDV13;Article;2013;The Analysis of Network Additionality in the Context of Territorial Innovation Policy: The Case of Italian Technological Districts.;81;88;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#CapuanoSMDV13
series/class/YokoyamaO13;Article;2013;One-Mode Three-Way Analysis Based on Result of One-Mode Two-Way Analysis.;195;203;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#YokoyamaO13
series/class/Piontek13;Article;2013;Comparison of Some Chosen Tests of Independence of Value-at-Risk Violations.;407;416;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Piontek13
series/class/HableC13;Article;2013;Robustness Versus Consistency in Ill-Posed Classification and Regression Problems.;27;35;Classification and Data Mining;;;;;db/series/class/class364228893.html#HableC13
series/class/Raffinetti13;Article;2013;The Combined Median Rank-Based Gini Index for Customer Satisfaction Analysis.;289;296;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Raffinetti13
series/class/HerzogS13;Article;2013;Parallel Coordinate Plots in Archaeology.;299;308;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#HerzogS13
series/class/Geyer-SchulzOS13;Article;2013;Modified Randomized Modularity Clustering: Adapting the Resolution Limit.;355;363;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Geyer-SchulzOS13
series/class/Loureiro13;Article;2013;Antecedents and Outcomes of Participation in Social Networking Sites.;465;472;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Loureiro13
series/class/McNicholas13;Article;2013;On Clustering and Classification Via Mixtures of Multivariate t-Distributions.;233;240;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#McNicholas13
series/class/OelkerB13;Article;2013;On the Simultaneous Analysis of Clinical and Omics Data: A Comparison of Globalboosttest and Pre-validation Techniques.;259;267;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#OelkerB13
series/class/CerioliRT13;Article;2013;Size and Power of Multivariate Outlier Detection Rules.;3;17;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#CerioliRT13
series/class/Zumbo13;Article;2013;On Matters of Invariance in Latent Variable Models: Reflections on the Concept, and its Relations in Classical and Item Response Theory.;399;407;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Zumbo13
series/class/BauerSW13;Article;2013;Comparison of Classical and Sequential Design of Experiments in Note Onset Detection.;501;509;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#BauerSW13
