art_id;author;pos
series/class/FriedrichsW13;Klaus Friedrichs;0
series/class/FriedrichsW13;Claus Weihs;1
series/class/IezziMS13;Domenica Fioredistella Iezzi;0
series/class/IezziMS13;Mario Mastrangelo;1
series/class/IezziMS13;Scipione Sarlo;2
series/class/RomanoS13;Antonio Angelo Romano;0
series/class/RomanoS13;Giuseppe Scandurra;1
series/class/LagonaP13;Francesco Lagona;0
series/class/LagonaP13;Marco Picone;1
series/class/BuchelHM13;Nina B?;0
series/class/BuchelHM13;Kay F. Hildebrand;1
series/class/BuchelHM13;Ulrich M?ller-Funk;2
series/class/ZanellaBBC13;Angelo Zanella;0
series/class/ZanellaBBC13;Giuseppe Boari;1
series/class/ZanellaBBC13;Andrea Bonanomi;2
series/class/ZanellaBBC13;Gabriele Cantaluppi;3
series/class/SchmittB13;Ingo Schmitt;0
series/class/SchmittB13;Daniel Baier;1
series/class/Dreassi13;Emanuela Dreassi;0
series/class/CapuanoSMDV13;Carlo Capuano;0
series/class/CapuanoSMDV13;Domenico De Stefano;1
series/class/CapuanoSMDV13;Alfredo Del Monte;2
series/class/CapuanoSMDV13;Maria Rosaria D'Esposito;3
series/class/CapuanoSMDV13;Maria Prosperina Vitale;4
series/class/YokoyamaO13;Satoru Yokoyama;0
series/class/YokoyamaO13;Akinori Okada;1
series/class/Piontek13;Krzysztof Piontek;0
series/class/HableC13;Robert Hable;0
series/class/HableC13;Andreas Christmann;1
series/class/Raffinetti13;Emanuela Raffinetti;0
series/class/HerzogS13;Irmela Herzog;0
series/class/HerzogS13;Frank Siegmund;1
series/class/Geyer-SchulzOS13;Andreas Geyer-Schulz;0
series/class/Geyer-SchulzOS13;Michael Ovelg?nne;1
series/class/Geyer-SchulzOS13;Martin Stein;2
series/class/Loureiro13;Sandra Loureiro;0
series/class/McNicholas13;Paul D. McNicholas;0
series/class/OelkerB13;Margret-Ruth Oelker;0
series/class/OelkerB13;Anne-Laure Boulesteix;1
series/class/CerioliRT13;Andrea Cerioli;0
series/class/CerioliRT13;Marco Riani;1
series/class/CerioliRT13;Francesca Torti;2
series/class/Zumbo13;Bruno D. Zumbo;0
series/class/BauerSW13;Nadja Bauer;0
series/class/BauerSW13;Julia Schiffner;1
series/class/BauerSW13;Claus Weihs;2
series/class/Morlini13;Isabella Morlini;0
series/class/Sahmer13;Karin Sahmer;0
series/class/VoeklerKB13;Sascha Voekler;0
series/class/VoeklerKB13;Daniel Krausche;1
series/class/VoeklerKB13;Daniel Baier;2
series/class/MazzaP13;Angelo Mazza;0
series/class/MazzaP13;Antonio Punzo;1
series/class/GuglielmiIPR13;Alessandra Guglielmi;0
series/class/GuglielmiIPR13;Francesca Ieva;1
series/class/GuglielmiIPR13;Anna Maria Paganoni;2
series/class/GuglielmiIPR13;Fabrizio Ruggeri;3
series/class/TortoraSP13;Cristina Tortora;0
series/class/TortoraSP13;Mireille Gettler-Summa;1
series/class/TortoraSP13;Francesco Palumbo;2
series/class/CipolliniFGM13;Fabrizio Cipollini;0
series/class/CipolliniFGM13;Camilla Ferretti;1
series/class/CipolliniFGM13;Piero Ganugi;2
series/class/CipolliniFGM13;Mario Mezzanzanica;3
series/class/AlexandrovichHR13;Grigory Alexandrovich;0
series/class/AlexandrovichHR13;Hajo Holzmann;1
series/class/AlexandrovichHR13;Surajit Ray;2
series/class/AgostinelliR13;Claudio Agostinelli;0
series/class/AgostinelliR13;Mario Romanazzi;1
series/class/OkadaY13;Akinori Okada;0
series/class/OkadaY13;Satoru Yokoyama;1
series/class/FoberKH13;Thomas Fober;0
